titleType,averageRating,numVotes,movie,tvMiniSeries,tvMovie,tvSeries
movie,6.5,25616.0,1.0,0.0,0.0,0.0
tvSeries,6.6,3264.0,0.0,0.0,0.0,1.0
tvSeries,6.5,5309.0,0.0,0.0,0.0,1.0
tvSeries,7.3,7944.0,0.0,0.0,0.0,1.0
tvSeries,8.4,102290.0,0.0,0.0,0.0,1.0
tvSeries,7.6,4333.0,0.0,0.0,0.0,1.0
tvSeries,6.8,3118.0,0.0,0.0,0.0,1.0
tvSeries,8.2,6111.0,0.0,0.0,0.0,1.0
movie,7.7,24000.0,1.0,0.0,0.0,0.0
movie,7.4,12525.0,1.0,0.0,0.0,0.0
tvSeries,8.3,14192.0,0.0,0.0,0.0,1.0
tvMiniSeries,7.3,3469.0,0.0,1.0,0.0,0.0
tvSeries,6.7,4127.0,0.0,0.0,0.0,1.0
tvSeries,6.6,8494.0,0.0,0.0,0.0,1.0
tvMovie,8.1,3586.0,0.0,0.0,1.0,0.0
movie,7.3,5890.0,1.0,0.0,0.0,0.0
tvSeries,6.5,7143.0,0.0,0.0,0.0,1.0
movie,7.0,112645.0,1.0,0.0,0.0,0.0
tvSeries,6.9,6492.0,0.0,0.0,0.0,1.0
movie,7.7,8620.0,1.0,0.0,0.0,0.0
movie,7.5,13171.0,1.0,0.0,0.0,0.0
tvSeries,7.1,7168.0,0.0,0.0,0.0,1.0
movie,6.7,4748.0,1.0,0.0,0.0,0.0
tvMiniSeries,8.0,32159.0,0.0,1.0,0.0,0.0
tvSeries,7.8,11198.0,0.0,0.0,0.0,1.0
movie,7.8,3055.0,1.0,0.0,0.0,0.0
movie,6.8,3969.0,1.0,0.0,0.0,0.0
tvSeries,8.3,5043.0,0.0,0.0,0.0,1.0
movie,6.8,88966.0,1.0,0.0,0.0,0.0
tvSeries,7.2,5125.0,0.0,0.0,0.0,1.0
movie,6.5,11605.0,1.0,0.0,0.0,0.0
movie,7.3,7692.0,1.0,0.0,0.0,0.0
tvSeries,7.9,4528.0,0.0,0.0,0.0,1.0
movie,7.1,12119.0,1.0,0.0,0.0,0.0
tvSeries,7.1,91379.0,0.0,0.0,0.0,1.0
tvSeries,7.8,7861.0,0.0,0.0,0.0,1.0
movie,7.7,7657.0,1.0,0.0,0.0,0.0
tvMovie,7.6,4062.0,0.0,0.0,1.0,0.0
movie,6.7,88552.0,1.0,0.0,0.0,0.0
tvSeries,8.3,37184.0,0.0,0.0,0.0,1.0
tvSeries,7.3,4342.0,0.0,0.0,0.0,1.0
tvSeries,6.6,3060.0,0.0,0.0,0.0,1.0
tvSeries,8.2,14619.0,0.0,0.0,0.0,1.0
tvMiniSeries,7.3,6817.0,0.0,1.0,0.0,0.0
tvMiniSeries,6.8,5774.0,0.0,1.0,0.0,0.0
tvSeries,8.1,40723.0,0.0,0.0,0.0,1.0
movie,6.9,4832.0,1.0,0.0,0.0,0.0
tvSeries,7.2,3521.0,0.0,0.0,0.0,1.0
movie,7.0,4128.0,1.0,0.0,0.0,0.0
movie,7.6,13633.0,1.0,0.0,0.0,0.0
movie,6.5,78542.0,1.0,0.0,0.0,0.0
movie,7.4,30781.0,1.0,0.0,0.0,0.0
movie,7.2,3156.0,1.0,0.0,0.0,0.0
tvSeries,7.1,3805.0,0.0,0.0,0.0,1.0
tvSeries,7.3,7882.0,0.0,0.0,0.0,1.0
movie,7.5,5980.0,1.0,0.0,0.0,0.0
movie,6.7,109265.0,1.0,0.0,0.0,0.0
tvSeries,8.3,50544.0,0.0,0.0,0.0,1.0
movie,6.6,3887.0,1.0,0.0,0.0,0.0
movie,7.0,6203.0,1.0,0.0,0.0,0.0
movie,7.3,5078.0,1.0,0.0,0.0,0.0
tvSeries,8.1,16836.0,0.0,0.0,0.0,1.0
movie,7.4,7723.0,1.0,0.0,0.0,0.0
tvMiniSeries,7.1,6632.0,0.0,1.0,0.0,0.0
tvMiniSeries,7.4,10187.0,0.0,1.0,0.0,0.0
movie,6.9,40572.0,1.0,0.0,0.0,0.0
movie,7.7,8629.0,1.0,0.0,0.0,0.0
movie,6.8,79956.0,1.0,0.0,0.0,0.0
movie,7.0,6587.0,1.0,0.0,0.0,0.0
tvSeries,6.5,5077.0,0.0,0.0,0.0,1.0
movie,6.5,7434.0,1.0,0.0,0.0,0.0
movie,7.6,4179.0,1.0,0.0,0.0,0.0
movie,6.9,7866.0,1.0,0.0,0.0,0.0
tvSeries,7.2,17385.0,0.0,0.0,0.0,1.0
tvSeries,8.1,32596.0,0.0,0.0,0.0,1.0
tvSeries,7.2,16681.0,0.0,0.0,0.0,1.0
tvSeries,8.5,80539.0,0.0,0.0,0.0,1.0
tvSeries,8.4,11058.0,0.0,0.0,0.0,1.0
tvSeries,8.7,4079.0,0.0,0.0,0.0,1.0
tvSeries,7.8,4643.0,0.0,0.0,0.0,1.0
tvSeries,7.3,30696.0,0.0,0.0,0.0,1.0
tvSeries,7.2,12080.0,0.0,0.0,0.0,1.0
movie,8.5,5087.0,1.0,0.0,0.0,0.0
movie,6.5,3346.0,1.0,0.0,0.0,0.0
tvSeries,7.2,3752.0,0.0,0.0,0.0,1.0
movie,6.7,18147.0,1.0,0.0,0.0,0.0
tvSeries,9.1,20254.0,0.0,0.0,0.0,1.0
movie,6.9,3184.0,1.0,0.0,0.0,0.0
movie,7.8,3086.0,1.0,0.0,0.0,0.0
movie,7.1,69376.0,1.0,0.0,0.0,0.0
movie,7.5,11880.0,1.0,0.0,0.0,0.0
tvMiniSeries,8.3,5594.0,0.0,1.0,0.0,0.0
tvSeries,7.6,9935.0,0.0,0.0,0.0,1.0
tvSeries,8.2,7922.0,0.0,0.0,0.0,1.0
movie,7.3,5368.0,1.0,0.0,0.0,0.0
